"TaxonID","domain","phylum","class","order","family","genus"
"OTU79","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria"
"OTU1068","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Porphyrobacter"
"OTU481","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU807","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum"
"OTU187","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Turicella"
"OTU1797","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"OTU122","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"OTU1438","Bacteria","Actinobacteria","Actinobacteria","Euzebyales","Euzebyaceae","Euzebya"
"OTU1443","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","unclassified_Holophagaceae"
"OTU1494","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified_Actinomycetales","unclassified_Actinomycetales"
"OTU435","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"OTU135","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Schlegelella"
"OTU1700","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","unclassified_Flavobacteriaceae"
"OTU1709","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera"
"OTU328","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae"
"OTU1719","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium"
"OTU561","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Flaviflexus"
"OTU746","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae 1","Bacillus"
"OTU1980","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","unclassified_Cytophagaceae"
"OTU365","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","unclassified_Coriobacteriaceae"
"OTU952","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU608","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"OTU449","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis"
"OTU35","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas"
"OTU50","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU214","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU363","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium IV"
"OTU1838","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU1721","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU939","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU201","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU1379","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Curtobacterium"
"OTU169","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU384","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"OTU500","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae"
"OTU1061","Bacteria","Proteobacteria","Betaproteobacteria","unclassified_Betaproteobacteria","unclassified_Betaproteobacteria","unclassified_Betaproteobacteria"
"OTU613","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea"
"OTU20","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"OTU926","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera"
"OTU1072","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified_Lachnospiraceae"
"OTU1871","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium"
"OTU1025","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus"
"OTU424","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium"
"OTU1153","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Extensimonas"
"OTU462","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella"
"OTU434","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis"
"OTU1262","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"OTU1216","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"OTU1949","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU1080","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
